Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2017 - 2019
Cash & Equivalents,298.93,84.38,157.02,68.63,92.05,72.04,Upgrade
Short-Term Investments,487.97,591.94,368.1,296.2,154.72,211.55,Upgrade
Cash & Short-Term Investments,786.89,676.32,525.11,364.83,246.77,283.59,Upgrade
Cash Growth,-14.47%,28.79%,43.93%,47.84%,-12.98%,186.58%,Upgrade
Receivables,-,0,0.02,0.21,1.1,1.88,Upgrade
Prepaid Expenses,15.76,13.39,7.5,5.41,3.12,3.14,Upgrade
Total Current Assets,802.66,689.71,532.63,370.45,251,288.61,Upgrade
"Property, Plant & Equipment",31.72,27.74,8.41,8.99,8.66,9.48,Upgrade
Long-Term Investments,349.96,405.83,107.49,8.32,121.29,-,Upgrade
Other Long-Term Assets,0.81,0.81,0.78,0.21,0.4,0.19,Upgrade
Total Assets,"1,185","1,124",649.32,387.97,381.35,298.27,Upgrade
Accounts Payable,18.43,15.42,6.6,4.28,2.1,0.95,Upgrade
Accrued Expenses,45.26,30.35,18.76,17,12.32,8.52,Upgrade
Current Portion of Leases,0.33,0.3,1.75,1.87,1.7,1.54,Upgrade
Current Unearned Revenue,0.49,-,-,8.57,29.04,27.61,Upgrade
Other Current Liabilities,-,-,-,-,-,0.02,Upgrade
Total Current Liabilities,64.51,46.07,27.1,31.72,45.16,38.64,Upgrade
Long-Term Leases,26.92,18.87,1.13,1.61,3.48,5.18,Upgrade
Long-Term Unearned Revenue,1.68,-,-,5.19,31.19,56.16,Upgrade
Other Long-Term Liabilities,-,-,-,-,-,0.01,Upgrade
Total Liabilities,93.1,64.94,28.23,38.51,79.83,100,Upgrade
Common Stock,0.01,0.01,0.01,0.01,0,0,Upgrade
Additional Paid-In Capital,"1,743","1,681",968.89,587.72,478.97,325.25,Upgrade
Retained Earnings,-653.27,-622.84,-348.36,-235.4,-176.75,-126.99,Upgrade
Comprehensive Income & Other,2.05,0.81,0.56,-2.87,-0.71,0.01,Upgrade
Total Common Equity,"1,092","1,059",621.09,349.46,301.51,198.27,Upgrade
Shareholders' Equity,"1,092","1,059",621.09,349.46,301.51,198.27,Upgrade
Total Liabilities & Equity,"1,185","1,124",649.32,387.97,381.35,298.27,Upgrade
Total Debt,27.25,19.17,2.87,3.48,5.18,6.72,Upgrade
Net Cash (Debt),"1,110","1,063",629.73,369.66,362.88,276.86,Upgrade
Net Cash Growth,-6.07%,68.80%,70.35%,1.87%,31.07%,195.45%,Upgrade
Net Cash Per Share,12.58,13.01,10.95,8.92,10.29,11.20,Upgrade
Filing Date Shares Outstanding,87.67,87.54,74.56,48.39,38.63,32.25,Upgrade
Total Common Shares Outstanding,87.67,86.5,65.04,48.19,38.53,29.52,Upgrade
Working Capital,738.15,643.64,505.53,338.74,205.84,249.97,Upgrade
Book Value Per Share,12.46,12.24,9.55,7.25,7.82,6.72,Upgrade
Tangible Book Value,"1,092","1,059",621.09,349.46,301.51,198.27,Upgrade
Tangible Book Value Per Share,12.46,12.24,9.55,7.25,7.82,6.72,Upgrade
Machinery,16.66,15.53,12.22,10.51,7.02,5.33,Upgrade
Leasehold Improvements,4.94,4.91,3.32,3.32,3.13,2.72,Upgrade
