Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
"Selling, General & Admin",89.78,62.59,36.25,22.38,10.26,1.5,Upgrade
Research & Development,308.6,217.77,113.24,63.73,35.56,15.4,Upgrade
Operating Expenses,398.38,280.37,149.49,86.11,45.82,16.91,Upgrade
Operating Income,-398.38,-280.37,-149.49,-86.11,-45.82,-16.91,Upgrade
Interest & Investment Income,32.06,23.65,13.16,3.88,0.33,-,Upgrade
Other Non Operating Income (Expenses),-28.62,-17.94,-,-,-0.64,2.35,Upgrade
EBT Excluding Unusual Items,-394.94,-274.66,-136.33,-82.23,-46.12,-14.56,Upgrade
Gain (Loss) on Sale of Investments,14.11,14.67,10.11,0.37,-0.22,-,Upgrade
Pretax Income,-380.83,-259.99,-126.22,-81.85,-46.34,-14.56,Upgrade
Income Tax Expense,0.61,0.76,-,-,-,-,Upgrade
Net Income,-381.44,-260.76,-126.22,-81.85,-46.34,-14.56,Upgrade
Net Income to Common,-381.44,-260.76,-126.22,-81.85,-46.34,-14.56,Upgrade
Shares Outstanding (Basic),72,66,58,50,22,3,Upgrade
Shares Outstanding (Diluted),72,66,58,50,22,3,Upgrade
Shares Change (YoY),11.73%,14.06%,17.22%,128.01%,659.75%,57.23%,Upgrade
EPS (Basic),-5.32,-3.93,-2.17,-1.65,-2.13,-5.08,Upgrade
EPS (Diluted),-5.32,-3.93,-2.17,-1.65,-2.13,-5.08,Upgrade
EBIT,-398.38,-280.37,-149.49,-86.11,-45.82,-16.91,Upgrade
