Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2016 - 2019
Operating Revenue,"11,325","10,529","11,180","13,066","14,452","11,380",Upgrade
Other Revenue,"7,434","6,637","5,110","3,488","2,184","2,184",Upgrade
Revenue,"18,759","17,166","16,290","16,554","16,636","13,564",Upgrade
Revenue Growth (YoY),9.77%,5.38%,-1.59%,-0.49%,22.65%,47.12%,Upgrade
Cost of Revenue,"6,384","6,562","5,842","4,856","3,799","3,207",Upgrade
Gross Profit,"12,375","10,604","10,448","11,698","12,837","10,357",Upgrade
"Selling, General & Admin","2,818","2,175","2,361","2,620","2,648","1,535",Upgrade
Operating Expenses,"3,153","2,597","2,537","2,858","2,972","1,773",Upgrade
Operating Income,"9,222","8,007","7,911","8,840","9,864","8,584",Upgrade
Interest & Investment Income,282.01,237.02,217.31,182.3,136.37,77.17,Upgrade
Currency Exchange Gain (Loss),111.84,1.51,2.36,-160.23,35.55,101.53,Upgrade
Other Non Operating Income (Expenses),-934.34,-353.08,"-2,823","-4,100","-3,014","-4,681",Upgrade
EBT Excluding Unusual Items,"8,682","7,892","5,308","4,762","7,023","4,082",Upgrade
Gain (Loss) on Sale of Investments,-,-,-30.11,-19.89,-,-,Upgrade
Pretax Income,"8,682","7,892","5,277","4,742","7,023","4,082",Upgrade
Income Tax Expense,"1,443","1,644","1,009",736.8,"1,258",586.04,Upgrade
Earnings From Continuing Operations,"7,239","6,248","4,269","4,006","5,765","3,496",Upgrade
Minority Interest in Earnings,15.13,16.2,16.76,18.61,17.21,0.9,Upgrade
Net Income,"7,254","6,264","4,285","4,024","5,782","3,497",Upgrade
Net Income to Common,"7,254","6,264","4,285","4,024","5,782","3,497",Upgrade
Net Income Growth,51.16%,46.18%,6.49%,-30.40%,65.35%,39.77%,Upgrade
Shares Outstanding (Basic),140,149,160,156,154,149,Upgrade
Shares Outstanding (Diluted),143,152,164,161,161,153,Upgrade
Shares Change (YoY),-10.41%,-7.63%,2.02%,0.19%,4.80%,1.90%,Upgrade
EPS (Basic),51.67,42.04,26.72,25.75,37.63,23.45,Upgrade
EPS (Diluted),50.59,41.28,26.08,25.00,35.98,22.80,Upgrade
EPS Growth,68.82%,58.28%,4.32%,-30.52%,57.81%,37.18%,Upgrade
Free Cash Flow,"10,698","9,190","7,034","5,896","5,764","5,311",Upgrade
Free Cash Flow Per Share,74.62,60.57,42.82,36.62,35.87,34.63,Upgrade
Dividend Per Share,10.573,9.489,7.658,4.966,3.430,-,Upgrade
Dividend Growth,-12.02%,23.90%,54.21%,44.76%,-,-,Upgrade
Gross Margin,65.97%,61.77%,64.13%,70.67%,77.16%,76.36%,Upgrade
Operating Margin,49.16%,46.64%,48.56%,53.40%,59.30%,63.29%,Upgrade
Profit Margin,38.67%,36.49%,26.31%,24.31%,34.76%,25.78%,Upgrade
Free Cash Flow Margin,57.03%,53.54%,43.18%,35.61%,34.65%,39.15%,Upgrade
EBITDA,"9,298","8,082","7,985","8,917","9,930","8,620",Upgrade
EBITDA Margin,49.56%,47.08%,49.02%,53.87%,59.69%,63.55%,Upgrade
D&A For EBITDA,75.46,74.89,73.76,76.98,65.97,36.06,Upgrade
EBIT,"9,222","8,007","7,911","8,840","9,864","8,584",Upgrade
EBIT Margin,49.16%,46.64%,48.56%,53.40%,59.30%,63.29%,Upgrade
Effective Tax Rate,16.63%,20.83%,19.12%,15.54%,17.92%,14.36%,Upgrade
Revenue as Reported,"18,759","17,166","16,290","16,554","16,636","13,564",Upgrade
